File name: sd_tossa_n33csic_2024-09-21T09:40:11_2024-09-21T09:42:16

User: sd_tossa

Sensor: n33csic[DA:4B:8D:59:24:D0]

Dive: mar menuda 2109
Dive date range: 2024-09-21 09:40:11 - 2024-09-21 09:42:16 (UTC +02:00)

"Location: 41.721722,2.939552"

Summary: 
Duration: 0:02:05 h.
Temp: 20.06 c (min.) 25.71 c (max.) 
Depth: -22.67 m (max.)

date,temperature(c),depth(m)
2024-09-21 09:40:11,22.78,-1.44
2024-09-21 09:40:12,22.82,-2.2
2024-09-21 09:40:13,22.91,-3.57
2024-09-21 09:40:14,22.95,-4.79
2024-09-21 09:40:15,22.98,-6.89
2024-09-21 09:40:16,23.02,-9.51
2024-09-21 09:40:17,22.92,-9.06
2024-09-21 09:40:18,22.96,-7.69
2024-09-21 09:40:19,23.01,-8.69
2024-09-21 09:40:20,22.92,-9.24
2024-09-21 09:40:21,22.89,-8.06
2024-09-21 09:40:22,22.93,-8.23
2024-09-21 09:40:23,22.96,-12.01
2024-09-21 09:40:24,22.71,-13.62
2024-09-21 09:40:25,22.68,-12.31
2024-09-21 09:40:26,22.77,-12.71
2024-09-21 09:40:27,22.85,-8.93
2024-09-21 09:40:28,22.96,-9.45
2024-09-21 09:40:29,22.94,-10.34
2024-09-21 09:40:30,22.7,-12.77
2024-09-21 09:40:31,22.42,-13.46
2024-09-21 09:40:32,22.26,-12.6
2024-09-21 09:40:33,22.03,-11.24
2024-09-21 09:40:34,22.02,-16.01
2024-09-21 09:40:35,21.62,-19.96
2024-09-21 09:40:36,21.17,-21.09
2024-09-21 09:40:37,20.82,-22.2
2024-09-21 09:40:38,20.44,-19.66
2024-09-21 09:40:39,20.3,-20.02
2024-09-21 09:40:40,20.23,-20.1
2024-09-21 09:40:41,20.08,-22.67
2024-09-21 09:40:42,20.12,-20.87
2024-09-21 09:40:43,20.09,-21.66
2024-09-21 09:40:44,20.06,-20.78
2024-09-21 09:40:45,20.09,-20.14
2024-09-21 09:40:46,20.14,-20.2
2024-09-21 09:40:47,20.18,-19.63
2024-09-21 09:40:48,20.22,-18.84
2024-09-21 09:40:49,20.28,-18.69
2024-09-21 09:40:50,20.31,-17.12
2024-09-21 09:40:51,20.42,-14.25
2024-09-21 09:40:52,20.63,-14.22
2024-09-21 09:40:53,20.75,-12.71
2024-09-21 09:40:54,21.21,-9.74
2024-09-21 09:40:55,21.53,-10.84
2024-09-21 09:40:56,21.79,-12.12
2024-09-21 09:40:57,22.01,-11.86
2024-09-21 09:40:58,22.08,-13.29
2024-09-21 09:40:59,21.84,-14.48
2024-09-21 09:41:00,21.59,-15.44
2024-09-21 09:41:01,21.4,-13.95
2024-09-21 09:41:02,21.58,-12.52
2024-09-21 09:41:03,21.92,-8.73
2024-09-21 09:41:04,22.18,-5.97
2024-09-21 09:41:05,22.42,-5.06
2024-09-21 09:41:06,22.64,-6.15
2024-09-21 09:41:07,22.75,-6.36
2024-09-21 09:41:08,22.86,-6.13
2024-09-21 09:41:09,22.92,-7.08
2024-09-21 09:41:10,22.86,-8.11
2024-09-21 09:41:11,22.82,-8.47
2024-09-21 09:41:12,22.85,-9.39
2024-09-21 09:41:13,22.83,-8.38
